238,"Oued Irara Airport","Hassi Messaoud","Algeria","HME","DAUH",31.673000335699996,6.140439987180001,463,1,"N","Africa/Algiers","airport","OurAirports"
239,"In Salah Airport","In Salah","Algeria","INZ","DAUI",27.250999450699997,2.51202011108,896,1,"N","Africa/Algiers","airport","OurAirports"
